doc_id,line_id,position,token,source
pos_synthetic,1,1,T00,positional_synthetic_v1
pos_synthetic,1,2,O28,positional_synthetic_v1
pos_synthetic,1,3,N03,positional_synthetic_v1
pos_synthetic,2,1,T01,positional_synthetic_v1
pos_synthetic,2,2,O00,positional_synthetic_v1
pos_synthetic,2,3,T00,positional_synthetic_v1
pos_synthetic,2,4,O00,positional_synthetic_v1
pos_synthetic,2,5,O17,positional_synthetic_v1
pos_synthetic,2,6,T01,positional_synthetic_v1
pos_synthetic,2,7,N02,positional_synthetic_v1
pos_synthetic,3,1,T00,positional_synthetic_v1
pos_synthetic,3,2,O32,positional_synthetic_v1
pos_synthetic,3,3,O14,positional_synthetic_v1
pos_synthetic,3,4,O00,positional_synthetic_v1
pos_synthetic,3,5,O00,positional_synthetic_v1
pos_synthetic,3,6,O00,positional_synthetic_v1
pos_synthetic,3,7,S00,positional_synthetic_v1
pos_synthetic,4,1,O01,positional_synthetic_v1
pos_synthetic,4,2,O00,positional_synthetic_v1
pos_synthetic,4,3,O04,positional_synthetic_v1
pos_synthetic,4,4,N00,positional_synthetic_v1
pos_synthetic,5,1,T00,positional_synthetic_v1
pos_synthetic,5,2,T00,positional_synthetic_v1
pos_synthetic,5,3,O02,positional_synthetic_v1
pos_synthetic,5,4,O10,positional_synthetic_v1
pos_synthetic,5,5,O00,positional_synthetic_v1
pos_synthetic,5,6,S00,positional_synthetic_v1
pos_synthetic,5,7,N01,positional_synthetic_v1
pos_synthetic,6,1,T00,positional_synthetic_v1
pos_synthetic,6,2,O04,positional_synthetic_v1
pos_synthetic,6,3,T00,positional_synthetic_v1
pos_synthetic,6,4,O00,positional_synthetic_v1
pos_synthetic,6,5,S03,positional_synthetic_v1
pos_synthetic,7,1,O12,positional_synthetic_v1
pos_synthetic,7,2,O00,positional_synthetic_v1
pos_synthetic,7,3,O00,positional_synthetic_v1
pos_synthetic,7,4,S00,positional_synthetic_v1
pos_synthetic,8,1,T00,positional_synthetic_v1
pos_synthetic,8,2,O02,positional_synthetic_v1
pos_synthetic,8,3,O00,positional_synthetic_v1
pos_synthetic,8,4,O22,positional_synthetic_v1
pos_synthetic,8,5,S01,positional_synthetic_v1
pos_synthetic,9,1,T00,positional_synthetic_v1
pos_synthetic,9,2,O02,positional_synthetic_v1
pos_synthetic,9,3,O03,positional_synthetic_v1
pos_synthetic,9,4,N00,positional_synthetic_v1
pos_synthetic,10,1,O32,positional_synthetic_v1
pos_synthetic,10,2,O10,positional_synthetic_v1
pos_synthetic,10,3,O26,positional_synthetic_v1
pos_synthetic,10,4,T05,positional_synthetic_v1
pos_synthetic,10,5,S03,positional_synthetic_v1
pos_synthetic,11,1,O00,positional_synthetic_v1
pos_synthetic,11,2,O00,positional_synthetic_v1
pos_synthetic,11,3,O00,positional_synthetic_v1
pos_synthetic,11,4,S00,positional_synthetic_v1
pos_synthetic,12,1,T00,positional_synthetic_v1
pos_synthetic,12,2,O13,positional_synthetic_v1
pos_synthetic,12,3,O01,positional_synthetic_v1
pos_synthetic,12,4,O00,positional_synthetic_v1
pos_synthetic,12,5,O03,positional_synthetic_v1
pos_synthetic,12,6,N00,positional_synthetic_v1
pos_synthetic,13,1,T03,positional_synthetic_v1
pos_synthetic,13,2,O00,positional_synthetic_v1
pos_synthetic,13,3,O36,positional_synthetic_v1
pos_synthetic,13,4,O10,positional_synthetic_v1
pos_synthetic,13,5,S00,positional_synthetic_v1
pos_synthetic,14,1,T04,positional_synthetic_v1
pos_synthetic,14,2,O07,positional_synthetic_v1
pos_synthetic,14,3,S01,positional_synthetic_v1
pos_synthetic,14,4,N03,positional_synthetic_v1
pos_synthetic,15,1,T00,positional_synthetic_v1
pos_synthetic,15,2,O01,positional_synthetic_v1
pos_synthetic,15,3,O00,positional_synthetic_v1
pos_synthetic,15,4,O16,positional_synthetic_v1
pos_synthetic,15,5,O04,positional_synthetic_v1
pos_synthetic,15,6,O01,positional_synthetic_v1
pos_synthetic,15,7,N00,positional_synthetic_v1
pos_synthetic,16,1,T00,positional_synthetic_v1
pos_synthetic,16,2,O01,positional_synthetic_v1
pos_synthetic,16,3,O08,positional_synthetic_v1
pos_synthetic,16,4,O05,positional_synthetic_v1
pos_synthetic,16,5,S00,positional_synthetic_v1
pos_synthetic,17,1,T00,positional_synthetic_v1
pos_synthetic,17,2,O07,positional_synthetic_v1
