doc_id,line_id,position,token,raw_token,orientation,source,notes
tablet_001,1,1,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,1,2,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,1,3,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,1,4,g004,g004,normal,synthetic_rongorongo_like,
tablet_001,1,5,g027,g027,normal,synthetic_rongorongo_like,
tablet_001,1,6,g062,g062,normal,synthetic_rongorongo_like,
tablet_001,1,7,g062,g062,normal,synthetic_rongorongo_like,
tablet_001,1,8,g015,g015,normal,synthetic_rongorongo_like,
tablet_001,1,9,g015,g015,normal,synthetic_rongorongo_like,
tablet_001,1,10,g015,g015,normal,synthetic_rongorongo_like,
tablet_001,1,11,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,1,12,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,1,13,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,1,14,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,1,15,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,1,16,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,17,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,18,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,19,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,20,g007,g007,normal,synthetic_rongorongo_like,
tablet_001,1,21,g007,g007,normal,synthetic_rongorongo_like,
tablet_001,1,22,g067,g067,normal,synthetic_rongorongo_like,
tablet_001,1,23,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,1,24,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,1,25,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,26,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,27,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,1,28,g010,g010,normal,synthetic_rongorongo_like,
tablet_001,1,29,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,30,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,1,31,g025,g025,normal,synthetic_rongorongo_like,
tablet_001,1,32,g025,g025,normal,synthetic_rongorongo_like,
tablet_001,1,33,g025,g025,normal,synthetic_rongorongo_like,
tablet_001,1,34,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,1,35,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,1,36,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,1,37,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,1,38,g009,g009,normal,synthetic_rongorongo_like,
tablet_001,1,39,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,1,40,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,2,1,g039,g039,normal,synthetic_rongorongo_like,
tablet_001,2,2,g033,g033,normal,synthetic_rongorongo_like,
tablet_001,2,3,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,2,4,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,2,5,g005,g005,normal,synthetic_rongorongo_like,
tablet_001,2,6,g062,g062,normal,synthetic_rongorongo_like,
tablet_001,2,7,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,2,8,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,2,9,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,2,10,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,2,11,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,12,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,2,13,g023,g023,normal,synthetic_rongorongo_like,
tablet_001,2,14,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,15,g071,g071,normal,synthetic_rongorongo_like,
tablet_001,2,16,g104,g104,normal,synthetic_rongorongo_like,
tablet_001,2,17,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,18,g050,g050,normal,synthetic_rongorongo_like,
tablet_001,2,19,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,20,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,21,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,22,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,2,23,g109,g109,normal,synthetic_rongorongo_like,
tablet_001,2,24,g012,g012,normal,synthetic_rongorongo_like,
tablet_001,2,25,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,2,26,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,2,27,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,2,28,g062,g062,normal,synthetic_rongorongo_like,
tablet_001,2,29,g022,g022,normal,synthetic_rongorongo_like,
tablet_001,2,30,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,2,31,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,2,32,g005,g005,normal,synthetic_rongorongo_like,
tablet_001,2,33,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,2,34,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,2,35,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,2,36,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,2,37,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,2,38,g088,g088,normal,synthetic_rongorongo_like,
tablet_001,2,39,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,2,40,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,3,1,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,2,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,3,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,3,4,g005,g005,normal,synthetic_rongorongo_like,
tablet_001,3,5,g005,g005,normal,synthetic_rongorongo_like,
tablet_001,3,6,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,3,7,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,8,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,9,g034,g034,normal,synthetic_rongorongo_like,
tablet_001,3,10,g034,g034,normal,synthetic_rongorongo_like,
tablet_001,3,11,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,3,12,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,3,13,g015,g015,normal,synthetic_rongorongo_like,
tablet_001,3,14,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,3,15,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,3,16,g101,g101,normal,synthetic_rongorongo_like,
tablet_001,3,17,g018,g018,normal,synthetic_rongorongo_like,
tablet_001,3,18,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,19,g006,g006,normal,synthetic_rongorongo_like,
tablet_001,3,20,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,3,21,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,22,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,3,23,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,3,24,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,3,25,g003,g003,normal,synthetic_rongorongo_like,
tablet_001,3,26,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,3,27,g002,g002,normal,synthetic_rongorongo_like,
tablet_001,3,28,g064,g064,normal,synthetic_rongorongo_like,
tablet_001,3,29,g021,g021,normal,synthetic_rongorongo_like,
tablet_001,3,30,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,3,31,g061,g061,normal,synthetic_rongorongo_like,
tablet_001,3,32,g001,g001,normal,synthetic_rongorongo_like,
tablet_001,3,33,g015,g015,normal,synthetic_rongorongo_like,
tablet_001,3,34,g027,g027,normal,synthetic_rongorongo_like,
tablet_001,3,35,g080,g080,normal,synthetic_rongorongo_like,
tablet_001,3,36,g080,g080,normal,synthetic_rongorongo_like,
