sign_id,script,label,gold_referent,candidate_referent,rank,iconicity,correct,provenance,rendered_path
egyptian_G005,egyptian_hieroglyphic,falcon/bird,great_frigatebird,hand,1,0.6384341109259681,False,Unicode Egyptian Hieroglyph G005; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G005.png
egyptian_G005,egyptian_hieroglyphic,falcon/bird,great_frigatebird,sun,2,0.6045431948450989,False,Unicode Egyptian Hieroglyph G005; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G005.png
egyptian_G005,egyptian_hieroglyphic,falcon/bird,great_frigatebird,foot,3,0.6032859886264713,False,Unicode Egyptian Hieroglyph G005; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G005.png
egyptian_G005,egyptian_hieroglyphic,falcon/bird,great_frigatebird,octopus,4,0.5988845538191607,False,Unicode Egyptian Hieroglyph G005; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G005.png
egyptian_G005,egyptian_hieroglyphic,falcon/bird,great_frigatebird,fairy_tern,5,0.5810362212337601,False,Unicode Egyptian Hieroglyph G005; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G005.png
egyptian_G043,egyptian_hieroglyphic,quail chick/bird,domestic_chicken,toki,1,0.6363885181619438,False,Unicode Egyptian Hieroglyph G043; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G043.png
egyptian_G043,egyptian_hieroglyphic,quail chick/bird,domestic_chicken,octopus,2,0.5529592617128242,False,Unicode Egyptian Hieroglyph G043; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G043.png
egyptian_G043,egyptian_hieroglyphic,quail chick/bird,domestic_chicken,sun,3,0.5459021932014538,False,Unicode Egyptian Hieroglyph G043; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G043.png
egyptian_G043,egyptian_hieroglyphic,quail chick/bird,domestic_chicken,hand,4,0.5455120343556075,False,Unicode Egyptian Hieroglyph G043; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G043.png
egyptian_G043,egyptian_hieroglyphic,quail chick/bird,domestic_chicken,fairy_tern,5,0.5395726945372111,False,Unicode Egyptian Hieroglyph G043; Gardiner bird sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_G043.png
egyptian_K001,egyptian_hieroglyphic,fish,yellowfin_tuna,toki,1,0.5901630965388137,False,Unicode Egyptian Hieroglyph K001; Gardiner fish sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_K001.png
egyptian_K001,egyptian_hieroglyphic,fish,yellowfin_tuna,hand,2,0.584690033838965,False,Unicode Egyptian Hieroglyph K001; Gardiner fish sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_K001.png
egyptian_K001,egyptian_hieroglyphic,fish,yellowfin_tuna,fairy_tern,3,0.5159491739196845,False,Unicode Egyptian Hieroglyph K001; Gardiner fish sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_K001.png
egyptian_K001,egyptian_hieroglyphic,fish,yellowfin_tuna,octopus,4,0.5102264444796819,False,Unicode Egyptian Hieroglyph K001; Gardiner fish sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_K001.png
egyptian_K001,egyptian_hieroglyphic,fish,yellowfin_tuna,moray_eel,5,0.5046416883108575,False,Unicode Egyptian Hieroglyph K001; Gardiner fish sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_K001.png
egyptian_N005,egyptian_hieroglyphic,sun,sun,toki,1,0.639392298170905,False,Unicode Egyptian Hieroglyph N005; Gardiner sun sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_N005.png
egyptian_N005,egyptian_hieroglyphic,sun,sun,hand,2,0.5275945218477944,False,Unicode Egyptian Hieroglyph N005; Gardiner sun sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_N005.png
egyptian_N005,egyptian_hieroglyphic,sun,sun,octopus,3,0.48072204959364434,False,Unicode Egyptian Hieroglyph N005; Gardiner sun sign.,runs/iconic_cross_script/rendered_known_signs/egyptian_N005.png
