doc_id,line_id,position,token,lemma,pos,translation,source,raw_token
tatoeba_maori_tatoeba_raw,1,1.0,nō,nō,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,1,2.0,mā,mātou,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,mātou
tatoeba_maori_tatoeba_raw,1,2.1,tou,mātou,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,mātou
tatoeba_maori_tatoeba_raw,1,3.0,tēnei,tēnei,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,1,4.0,kura,kura,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,1.0,e,e,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,2.0,mōhio,mōhio,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,3.0,ana,ana,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,4.0,ahau,ahau,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,5.0,ki,ki,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,6.0,te,te,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,2,7.0,rangatira,rangatira,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,3,1.0,he,he,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,3,2.0,taraka,taraka,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,3,3.0,tō,tōku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,tōku
tatoeba_maori_tatoeba_raw,3,3.1,ku,tōku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,tōku
tatoeba_maori_tatoeba_raw,4,1.0,tokowhā,tokowhā,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,4,2.0,ā,āku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,āku
tatoeba_maori_tatoeba_raw,4,2.1,ku,āku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,āku
tatoeba_maori_tatoeba_raw,4,3.0,tamariki,tamariki,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,5,1.0,he,he,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
tatoeba_maori_tatoeba_raw,5,2.0,ka,kairīpoata,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,kairīpoata
tatoeba_maori_tatoeba_raw,5,2.1,irīpoata,kairīpoata,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,kairīpoata
tatoeba_maori_tatoeba_raw,5,3.0,i,ia,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,ia
tatoeba_maori_tatoeba_raw,5,3.1,a,ia,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,ia
tatoeba_maori_tatoeba_raw,6,1.0,tokorua,tokorua,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw,
