doc_id,line_id,position,token,raw_token
tatoeba_spa,2512,1,supongo,Supongo
tatoeba_spa,2512,2,que,que
tatoeba_spa,2512,3,es,es
tatoeba_spa,2512,4,diferente,diferente
tatoeba_spa,2512,5,cuando,cuando
tatoeba_spa,2512,6,lo,lo
tatoeba_spa,2512,7,consideras,consideras
tatoeba_spa,2512,8,a,a
tatoeba_spa,2512,9,largo,largo
tatoeba_spa,2512,10,plazo,plazo.
tatoeba_spa,2537,1,si,Si
tatoeba_spa,2537,2,yo,yo
tatoeba_spa,2537,3,pudiera,pudiera
tatoeba_spa,2537,4,ser,ser
tatoeba_spa,2537,5,así,así...
tatoeba_spa,2565,1,yo,Yo
tatoeba_spa,2565,2,seré,seré
tatoeba_spa,2565,3,infeliz,"infeliz,"
tatoeba_spa,2565,4,pero,pero
tatoeba_spa,2565,5,no,no
tatoeba_spa,2565,6,me,me
tatoeba_spa,2565,7,suicidaría,suicidaría.
tatoeba_spa,2569,1,yo,Yo
tatoeba_spa,2569,2,pensaba,pensaba
tatoeba_spa,2569,3,que,que
tatoeba_spa,2569,4,te,te
tatoeba_spa,2569,5,gustaba,gustaba
tatoeba_spa,2569,6,aprender,aprender
tatoeba_spa,2569,7,cosas,cosas
tatoeba_spa,2569,8,nuevas,nuevas.
tatoeba_spa,2572,1,para,Para
tatoeba_spa,2572,2,hacer,hacer
tatoeba_spa,2572,3,eso,"eso,"
tatoeba_spa,2572,4,tienes,tienes
tatoeba_spa,2572,5,que,que
tatoeba_spa,2572,6,arriesgarte,arriesgarte.
tatoeba_spa,2575,1,no,No
tatoeba_spa,2575,2,soy,soy
tatoeba_spa,2575,3,un,un
tatoeba_spa,2575,4,artista,artista.
tatoeba_spa,2575,5,nunca,Nunca
tatoeba_spa,2575,6,tuve,tuve
tatoeba_spa,2575,7,mente,mente
tatoeba_spa,2575,8,para,para
tatoeba_spa,2575,9,ello,ello.
tatoeba_spa,2584,1,creo,Creo
tatoeba_spa,2584,2,que,que
tatoeba_spa,2584,3,tengo,tengo
tatoeba_spa,2584,4,una,una
tatoeba_spa,2584,5,teoría,teoría
tatoeba_spa,2584,6,sobre,sobre
tatoeba_spa,2584,7,eso,eso.
tatoeba_spa,2586,1,quieres,¿Quieres
tatoeba_spa,2586,2,decir,decir
tatoeba_spa,2586,3,que,que
tatoeba_spa,2586,4,ocultas,ocultas
tatoeba_spa,2586,5,intencionalmente,intencionalmente
tatoeba_spa,2586,6,tu,tu
tatoeba_spa,2586,7,belleza,belleza?
tatoeba_spa,2601,1,me,Me
tatoeba_spa,2601,2,tengo,tengo
tatoeba_spa,2601,3,que,que
tatoeba_spa,2601,4,ir,ir
tatoeba_spa,2601,5,a,a
tatoeba_spa,2601,6,la,la
tatoeba_spa,2601,7,cama,cama.
tatoeba_spa,2603,1,no,No
tatoeba_spa,2603,2,te,te
tatoeba_spa,2603,3,preguntaré,preguntaré
tatoeba_spa,2603,4,más,más
tatoeba_spa,2603,5,por,por
tatoeba_spa,2603,6,hoy,hoy.
tatoeba_spa,2607,1,gracias,Gracias
tatoeba_spa,2607,2,por,por
tatoeba_spa,2607,3,explicarme,explicarme
tatoeba_spa,2607,4,por,por
tatoeba_spa,2607,5,fin,fin
tatoeba_spa,2607,6,por,por
tatoeba_spa,2607,7,qué,qué
tatoeba_spa,2607,8,la,la
tatoeba_spa,2607,9,gente,gente
tatoeba_spa,2607,10,me,me
tatoeba_spa,2607,11,toma,toma
tatoeba_spa,2607,12,por,por
tatoeba_spa,2607,13,un,un
tatoeba_spa,2607,14,idiota,idiota.
tatoeba_spa,2625,1,se,¿Se
tatoeba_spa,2625,2,puede,puede
tatoeba_spa,2625,3,expresar,expresar
tatoeba_spa,2625,4,de,de
tatoeba_spa,2625,5,otra,otra
tatoeba_spa,2625,6,manera,manera?
tatoeba_spa,2626,1,nadie,Nadie
tatoeba_spa,2626,2,sabrá,sabrá.
tatoeba_spa,2627,1,encontré,Encontré
tatoeba_spa,2627,2,una,una
tatoeba_spa,2627,3,solución,"solución,"
tatoeba_spa,2627,4,pero,pero
tatoeba_spa,2627,5,la,la
tatoeba_spa,2627,6,encontré,encontré
tatoeba_spa,2627,7,tan,tan
tatoeba_spa,2627,8,rápido,rápido
tatoeba_spa,2627,9,que,que
tatoeba_spa,2627,10,no,no
tatoeba_spa,2627,11,puede,puede
tatoeba_spa,2627,12,ser,ser
tatoeba_spa,2627,13,la,la
tatoeba_spa,2627,14,correcta,correcta.
tatoeba_spa,2660,1,eso,Eso
tatoeba_spa,2660,2,sólo,sólo
tatoeba_spa,2660,3,muestra,muestra
tatoeba_spa,2660,4,que,que
tatoeba_spa,2660,5,no,no
tatoeba_spa,2660,6,eres,eres
tatoeba_spa,2660,7,un,un
tatoeba_spa,2660,8,robot,robot.
tatoeba_spa,2661,1,cómo,¿Cómo
tatoeba_spa,2661,2,podría,podría
tatoeba_spa,2661,3,ser,ser
tatoeba_spa,2661,4,yo,yo
tatoeba_spa,2661,5,un,un
tatoeba_spa,2661,6,robot,robot?
tatoeba_spa,2661,7,si,Si
tatoeba_spa,2661,8,los,los
tatoeba_spa,2661,9,robots,robots
tatoeba_spa,2661,10,no,no
tatoeba_spa,2661,11,sueñan,sueñan.
tatoeba_spa,2664,1,no,No
tatoeba_spa,2664,2,sé,sé
tatoeba_spa,2664,3,si,si
tatoeba_spa,2664,4,todavía,todavía
tatoeba_spa,2664,5,lo,lo
tatoeba_spa,2664,6,tengo,tengo.
tatoeba_spa,2670,1,ahí,Ahí
tatoeba_spa,2670,2,radica,radica
tatoeba_spa,2670,3,el,el
tatoeba_spa,2670,4,problema,problema.
tatoeba_spa,2721,1,depende,Depende
tatoeba_spa,2721,2,de,de
tatoeba_spa,2721,3,ti,ti
tatoeba_spa,2721,4,decidir,decidir
tatoeba_spa,2721,5,si,si
tatoeba_spa,2721,6,vamos,vamos
