doc_id,line_id,position,token,lemma,pos,translation,source,raw_token
tatoeba_to_tatoeba_raw,1,1.0,taha,taha,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,2.0,ua,ua,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,3.0,tolu,tolu,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,4.0,fa,fa,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,5.0,nima,nima,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,6.0,o,ono,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ono
tatoeba_to_tatoeba_raw,1,6.1,no,ono,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ono
tatoeba_to_tatoeba_raw,1,7.0,fitu,fitu,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,8.0,valu,valu,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,9.0,hiva,hiva,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,10.0,taha,taha,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,1,11.0,noa,noa,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,2,1.0,mālō,mālō,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,2,2.0,e,e,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,2,3.0,lelei,lelei,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,3,1.0,fēfē,fēfē,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,3,2.0,hake,hake,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,4,1.0,o,oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,oku
tatoeba_to_tatoeba_raw,4,1.1,ku,oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,oku
tatoeba_to_tatoeba_raw,4,2.0,o,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,4,2.1,u,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,4,3.0,kai,kai,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,5,1.0,o,oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,oku
tatoeba_to_tatoeba_raw,5,1.1,ku,oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,oku
tatoeba_to_tatoeba_raw,5,2.0,o,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,5,2.1,u,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,5,3.0,a,alu,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,alu
tatoeba_to_tatoeba_raw,5,3.1,lu,alu,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,alu
tatoeba_to_tatoeba_raw,6,1.0,o,oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,oku
tatoeba_to_tatoeba_raw,6,1.1,ku,oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,oku
tatoeba_to_tatoeba_raw,6,2.0,o,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,6,2.1,u,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,6,3.0,a,ako,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ako
tatoeba_to_tatoeba_raw,6,3.1,ko,ako,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ako
tatoeba_to_tatoeba_raw,7,1.0,','oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,'oku
tatoeba_to_tatoeba_raw,7,1.1,oku,'oku,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,'oku
tatoeba_to_tatoeba_raw,7,2.0,o,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,7,2.1,u,ou,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,ou
tatoeba_to_tatoeba_raw,7,3.0,','ilo'i,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,'ilo'i
tatoeba_to_tatoeba_raw,7,3.1,ilo'i,'ilo'i,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,'ilo'i
tatoeba_to_tatoeba_raw,8,1.0,fiefia,fiefia,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,8,2.0,ke,ke,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,8,3.0,fetaulaki,fetaulaki,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,8,4.0,mo,mo,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,8,5.0,ko,koe,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,koe
tatoeba_to_tatoeba_raw,8,5.1,e,koe,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,koe
tatoeba_to_tatoeba_raw,9,1.0,fiefia,fiefia,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,9,2.0,ke,ke,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,9,3.0,fetaulaki,fetaulaki,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,9,4.0,mo,mo,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,
tatoeba_to_tatoeba_raw,9,5.0,ki,kimoua,UNKNOWN,,opus_tatoeba_v2023-04-12_to_tatoeba_raw,kimoua
