doc_id,line_id,position,token,lemma,pos,translation,source
tatoeba_rap_tatoeba_raw,1,1,he,he,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,1,2,oho,oho,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,1,3,au,au,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,1,4,he,he,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,1,5,hī,hī,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,2,1,māuru-uru,māuru-uru,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,3,1,i,i,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,3,2,hē,hē,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,3,3,a,a,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,3,4,koe,koe,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,4,1,ka,ka,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,4,2,oho,oho,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,4,3,mai,mai,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,1,ko,ko,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,2,haa,haa,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,3,'ana,'ana,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,4,au,au,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,5,mo,mo,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,6,oho,oho,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,7,ki,ki,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,8,te,te,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,9,hare,hare,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,5,10,komo,komo,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,6,1,pehe,pehe,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,6,2,koe,koe,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,7,1,pehe,pehe,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,7,2,korua,korua,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,8,1,o,o,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,8,2,te,te,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,8,3,aha,aha,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,8,4,no,no,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,9,1,maruaki,maruaki,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,9,2,a,a,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,9,3,au,au,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,10,1,rohi-rohi,rohi-rohi,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,10,2,a,a,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,10,3,au,au,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,1,tahi,tahi,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,2,rua,rua,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,3,toru,toru,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,4,hā,hā,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,5,rima,rima,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,6,ono,ono,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,7,hitu,hitu,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,8,va'u,va'u,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,9,iva,iva,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
tatoeba_rap_tatoeba_raw,11,10,angahuru,angahuru,UNKNOWN,,opus_tatoeba_v2023-04-12_rap_tatoeba_raw
