doc_id,line_id,position,token,lemma,pos,translation,source
tatoeba_maori_tatoeba_raw,1,1,nō,nō,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,1,2,mātou,mātou,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,1,3,tēnei,tēnei,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,1,4,kura,kura,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,1,e,e,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,2,mōhio,mōhio,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,3,ana,ana,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,4,ahau,ahau,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,5,ki,ki,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,6,te,te,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,2,7,rangatira,rangatira,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,3,1,he,he,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,3,2,taraka,taraka,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,3,3,tōku,tōku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,4,1,tokowhā,tokowhā,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,4,2,āku,āku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,4,3,tamariki,tamariki,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,5,1,he,he,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,5,2,kairīpoata,kairīpoata,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,5,3,ia,ia,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,6,1,tokorua,tokorua,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,6,2,āku,āku,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
tatoeba_maori_tatoeba_raw,6,3,tamāhine,tamāhine,UNKNOWN,,opus_tatoeba_v2023-04-12_maori_tatoeba_raw
