doc_id,line_id,position,token,lemma,pos,translation,source,raw_token
tatoeba_fj_tatoeba_raw,1,1.0,bula,bula,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,2,1.0,ni,ni,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,2,2.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,2,3.0,yadra,yadra,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,3,1.0,ni,ni,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,3,2.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,3,3.0,bula,bula,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,4,1.0,ni,ni,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,4,2.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,4,3.0,bula,bula,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,5,1.0,ni,ni,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,5,2.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,5,3.0,moce,moce,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,6,1.0,ni,ni,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,6,2.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,6,3.0,moce,moce,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,7,1.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,7,2.0,dede,dede,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,7,3.0,da,da,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,7,4.0,sega,sega,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,7,5.0,ni,ni,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,7,6.0,sota,sota,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
tatoeba_fj_tatoeba_raw,8,1.0,sa,sa,UNKNOWN,,opus_tatoeba_v2023-04-12_fj_tatoeba_raw,
